rank,convergence_bonus,stopword_penalty,recall_at_500,recall_at_100,found_at_500,found_at_100,total_gold
1,0.5,0.2,0.2262,0.0986,195,85,862
2,0.5,0.3,0.2262,0.0986,195,85,862
3,0.5,0.5,0.2262,0.0986,195,85,862
4,0.5,0.1,0.2262,0.0974,195,84,862
5,0.75,0.1,0.2239,0.0963,193,83,862
6,0.75,0.2,0.2239,0.0963,193,83,862
7,0.75,0.3,0.2239,0.0963,193,83,862
8,0.75,0.5,0.2239,0.0963,193,83,862
9,1.0,0.1,0.2227,0.0963,192,83,862
10,1.0,0.2,0.2227,0.0963,192,83,862
11,1.0,0.3,0.2227,0.0963,192,83,862
12,1.0,0.5,0.2227,0.0963,192,83,862
13,0.0,0.1,0.2193,0.0940,189,81,862
14,0.0,0.2,0.2193,0.0940,189,81,862
15,0.0,0.3,0.2193,0.0940,189,81,862
16,0.0,0.5,0.2193,0.0940,189,81,862
17,0.25,0.1,0.2181,0.0986,188,85,862
18,0.25,0.2,0.2181,0.0986,188,85,862
19,0.25,0.3,0.2181,0.0986,188,85,862
20,0.25,0.5,0.2181,0.0986,188,85,862
21,0.0,1.0,0.2169,0.0940,187,81,862
22,0.5,1.0,0.2135,0.0974,184,84,862
23,0.75,1.0,0.2135,0.0963,184,83,862
24,0.25,1.0,0.2123,0.0986,183,85,862
25,1.0,1.0,0.2111,0.0963,182,83,862
