rank,recall_at_500,recall_at_100,found_at_500,found_at_100,total_gold,edit_distance,sound,exact,lemma,rare_word,dictionary,semantic,syntax,lemma_min1
1,0.2111,0.0812,182,70,862,2.0,4.0,3.0,2.0,1.0,0.5,0.5,0.5,0.1
2,0.2100,0.0824,181,71,862,2.0,4.0,3.0,2.0,1.0,0.5,0.5,1.0,0.1
3,0.2100,0.0824,181,71,862,2.0,4.0,3.0,2.0,1.0,0.5,0.8,0.3,0.1
4,0.2100,0.0812,181,70,862,2.0,4.0,3.0,2.0,1.0,0.5,0.5,0.3,0.1
5,0.2100,0.0812,181,70,862,2.0,4.0,3.0,2.0,1.0,0.5,0.8,0.5,0.1
6,0.2100,0.0800,181,69,862,2.0,2.5,3.0,2.0,1.0,0.5,0.5,0.3,0.1
7,0.2100,0.0800,181,69,862,2.0,3.0,3.0,2.0,1.0,0.5,0.5,0.3,0.1
8,0.2100,0.0800,181,69,862,2.0,3.0,3.0,2.0,1.0,0.5,0.5,1.0,0.1
9,0.2100,0.0789,181,68,862,2.0,2.5,3.0,2.0,1.0,0.5,0.5,0.5,0.1
10,0.2100,0.0789,181,68,862,2.0,3.0,3.0,2.0,1.0,0.5,0.5,0.5,0.1
11,0.2088,0.0858,180,74,862,3.0,4.0,3.0,2.0,2.0,0.5,0.8,0.3,0.3
12,0.2088,0.0858,180,74,862,3.0,4.0,3.0,2.0,2.0,0.5,0.8,0.5,0.3
13,0.2088,0.0847,180,73,862,3.0,4.0,3.0,2.0,2.0,0.5,0.5,0.3,0.3
14,0.2088,0.0847,180,73,862,3.0,4.0,3.0,2.0,2.0,0.5,0.5,0.5,0.3
15,0.2088,0.0835,180,72,862,3.0,4.0,3.0,2.0,1.0,1.0,0.5,0.3,0.1
16,0.2088,0.0835,180,72,862,3.0,4.0,3.0,2.0,2.0,1.0,0.5,0.3,0.1
17,0.2088,0.0835,180,72,862,3.0,4.0,3.0,2.0,2.0,1.0,0.5,0.5,0.1
18,0.2088,0.0824,180,71,862,3.0,3.0,3.0,2.0,2.0,0.5,0.5,0.3,0.3
19,0.2088,0.0812,180,70,862,2.0,1.5,3.0,2.0,1.0,0.5,0.5,0.3,0.1
20,0.2088,0.0812,180,70,862,3.0,3.0,3.0,2.0,2.0,0.5,0.5,0.5,0.3
21,0.2088,0.0812,180,70,862,3.0,3.0,3.0,2.0,2.0,0.5,0.8,0.3,0.1
22,0.2088,0.0789,180,68,862,2.0,2.5,3.0,2.0,1.0,1.0,0.5,0.3,0.3
23,0.2077,0.0847,179,73,862,2.0,3.0,3.0,2.0,2.0,1.0,0.8,1.0,0.1
24,0.2077,0.0847,179,73,862,2.0,4.0,3.0,2.0,2.0,0.5,0.5,0.3,0.1
25,0.2077,0.0847,179,73,862,2.0,4.0,3.0,2.0,2.0,0.5,0.5,0.5,0.1
26,0.2077,0.0847,179,73,862,2.0,4.0,3.0,2.0,2.0,1.0,0.5,0.3,0.1
27,0.2077,0.0847,179,73,862,3.0,4.0,3.0,2.0,2.0,0.5,0.8,0.3,0.1
28,0.2077,0.0847,179,73,862,3.0,4.0,3.0,2.0,2.0,0.5,1.2,0.3,0.1
29,0.2077,0.0835,179,72,862,2.0,4.0,3.0,1.5,1.0,1.0,0.5,0.5,0.1
30,0.2077,0.0835,179,72,862,2.0,4.0,3.0,2.0,1.0,0.5,0.5,0.3,0.3
31,0.2077,0.0835,179,72,862,2.0,4.0,3.0,2.0,1.0,0.5,0.5,0.5,0.3
32,0.2077,0.0835,179,72,862,3.0,4.0,3.0,1.5,2.0,1.5,0.5,0.3,0.1
33,0.2077,0.0835,179,72,862,3.0,4.0,3.0,2.0,1.0,1.0,0.5,0.5,0.1
34,0.2077,0.0835,179,72,862,3.0,4.0,3.0,2.0,2.0,0.5,1.2,0.5,0.1
35,0.2077,0.0835,179,72,862,3.0,4.0,3.0,2.0,2.0,1.5,0.5,0.3,0.3
36,0.2077,0.0835,179,72,862,3.0,4.0,3.0,2.0,2.0,1.5,0.5,0.5,0.1
37,0.2077,0.0824,179,71,862,2.0,2.5,3.0,2.0,2.0,1.0,0.5,0.3,0.1
38,0.2077,0.0824,179,71,862,2.0,2.5,3.0,2.0,2.0,1.0,0.5,0.5,0.1
39,0.2077,0.0824,179,71,862,2.0,3.0,3.0,2.0,2.0,0.5,0.5,0.3,0.1
40,0.2077,0.0824,179,71,862,2.0,3.0,3.0,2.0,2.0,0.5,0.5,0.5,0.1
41,0.2077,0.0824,179,71,862,2.0,3.0,3.0,2.0,2.0,1.0,0.5,0.3,0.1
42,0.2077,0.0824,179,71,862,2.0,3.0,3.0,2.0,2.0,1.0,0.5,0.5,0.1
43,0.2077,0.0824,179,71,862,2.0,4.0,3.0,1.5,1.0,0.5,0.5,0.3,0.1
44,0.2077,0.0824,179,71,862,2.0,4.0,3.0,1.5,1.0,0.5,0.5,0.3,0.3
45,0.2077,0.0824,179,71,862,2.0,4.0,3.0,1.5,1.0,0.5,0.8,0.3,0.1
46,0.2077,0.0824,179,71,862,2.0,4.0,3.0,2.0,1.0,1.0,0.5,0.3,0.3
47,0.2077,0.0824,179,71,862,2.0,4.0,3.0,2.0,1.0,1.0,0.8,0.3,0.1
48,0.2077,0.0824,179,71,862,2.0,4.0,3.0,2.0,1.0,1.0,0.8,0.5,0.1
49,0.2077,0.0824,179,71,862,3.0,2.5,3.0,2.0,2.0,0.5,0.8,0.5,0.1
50,0.2077,0.0824,179,71,862,3.0,4.0,3.0,2.0,2.0,0.5,0.8,0.5,0.1
51,0.2077,0.0812,179,70,862,2.0,4.0,3.0,1.5,1.0,0.5,1.2,0.3,0.1
52,0.2077,0.0812,179,70,862,2.0,4.0,3.0,2.0,1.0,0.5,0.8,1.0,0.1
